rxn_id,has_energy,energy_source,atp_synthase_heuristic,abc_transporter_heuristic,stored_bounds_heuristic,mmdeltag_band_heuristic,low_energy_heuristic,default_heuristic,cascade_winner,cascade_operator
rxn00001,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn00002,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn00003,1,eQuilibrator,-,-,-,-,<,=,low_energy_heuristic,<
rxn00004,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn00006,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00007,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00008,1,eQuilibrator,-,-,<,-,-,=,stored_bounds_heuristic,<
rxn00009,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn00010,1,eQuilibrator,-,-,-,-,>,=,low_energy_heuristic,>
rxn00011,1,eQuilibrator,-,-,-,-,<,=,low_energy_heuristic,<
rxn00012,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn00013,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn00014,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn00015,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn00016,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00017,1,Group contribution,-,-,-,-,-,=,default_heuristic,=
rxn00018,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn00019,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn00020,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00021,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn00022,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00023,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn00024,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00025,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00026,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00027,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn00028,1,,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00029,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00030,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn00031,1,Group contribution,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn00032,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00033,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn00034,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00035,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00036,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00037,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn00038,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn00039,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn00040,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
